Airline,Departure_Airport,Arrival_Airport,Departure_Time,Flight_Duration_Minutes,Flight_Status,Price_USD,Delay_Minutes,Weather_Impact
Southwest,JFK,ATL,27/3/2024 6:22,161,On-time,148.42,0,1
Southwest,JFK,DFW,28/12/2024 9:18,130,On-time,228.57,2,0
United,ORD,ORD,23/5/2024 23:28,169,On-time,232.45,0,0
Delta,SEA,ORD,31/10/2023 8:09,227,On-time,526.43,9,1
Southwest,LAX,JFK,17/1/2025 22:21,150,On-time,324.14,3,0
Delta,SFO,LAX,15/2/2025 1:17,155,On-time,402.53,11,0
Delta,ATL,SEA,30/10/2024 14:20,170,On-time,356.89,17,0
Delta,DFW,LAX,12/11/2023 13:05,82,On-time,414.00,11,0
American Airlines,ATL,SEA,16/11/2023 0:44,191,On-time,201.48,16,0
United,DEN,JFK,18/4/2025 1:27,201,On-time,444.95,1,1
United,SEA,SFO,29/4/2024 10:38,245,On-time,218.26,4,0
JetBlue,DFW,ATL,20/6/2023 14:41,101,On-time,338.00,7,0
American Airlines,DFW,ORD,28/2/2024 1:57,108,Delayed,388.83,13,0
United,DEN,JFK,18/9/2024 7:37,237,On-time,276.14,3,0
Southwest,JFK,DEN,13/5/2024 12:05,188,On-time,359.22,8,0
Southwest,SEA,SEA,12/5/2023 20:15,228,On-time,361.83,3,0
JetBlue,DFW,ORD,19/10/2023 19:34,85,On-time,222.65,11,0
JetBlue,DFW,DEN,13/4/2024 1:27,232,On-time,439.21,12,0
JetBlue,DFW,SFO,26/1/2024 1:03,167,Delayed,215.42,4,0
JetBlue,ATL,JFK,19/9/2024 0:55,83,On-time,496.54,2,0
Southwest,ATL,LAX,16/11/2023 21:04,248,On-time,388.72,4,0
Delta,ORD,DEN,24/8/2023 21:38,229,On-time,271.20,9,1
American Airlines,SFO,SEA,11/2/2025 7:57,87,On-time,248.89,3,0
JetBlue,LAX,SEA,25/5/2023 0:18,256,Cancelled,192.00,16,0
JetBlue,ORD,JFK,6/8/2023 21:18,238,On-time,243.87,6,0
United,ORD,LAX,26/5/2024 10:14,138,On-time,406.52,6,0
Delta,ATL,LAX,6/2/2025 21:23,117,On-time,333.59,14,0
United,SEA,SEA,30/6/2023 13:32,169,On-time,197.80,7,0
American Airlines,SFO,DFW,13/1/2025 20:17,192,On-time,219.61,2,1
American Airlines,DEN,LAX,6/6/2023 21:53,145,On-time,420.26,11,0
Southwest,ORD,ATL,11/12/2023 9:10,100,Cancelled,349.50,7,0
JetBlue,DEN,JFK,20/3/2024 19:22,224,On-time,325.89,2,0
United,SFO,LAX,19/9/2024 7:53,241,Delayed,416.78,0,0
American Airlines,LAX,ATL,6/7/2023 20:34,115,On-time,270.02,14,1
American Airlines,ORD,SFO,9/1/2024 11:27,146,On-time,403.37,0,0
Delta,LAX,DFW,30/1/2024 2:16,218,On-time,430.53,7,0
American Airlines,DFW,JFK,18/8/2023 11:53,262,Cancelled,284.82,8,0
American Airlines,DFW,SFO,14/8/2023 12:46,187,On-time,292.80,16,0
JetBlue,ATL,LAX,25/6/2024 8:10,291,On-time,497.05,3,0
Delta,ATL,LAX,16/10/2024 9:50,92,On-time,325.80,0,0
American Airlines,JFK,ATL,15/11/2023 21:25,182,Delayed,239.45,13,0
Delta,LAX,DEN,14/11/2023 6:00,92,On-time,370.34,0,1
Southwest,DFW,ATL,18/4/2025 1:08,179,On-time,398.66,28,0
American Airlines,SFO,SEA,13/12/2023 6:55,218,On-time,466.83,14,0
JetBlue,ORD,DEN,31/3/2024 8:11,158,On-time,320.68,8,0
JetBlue,LAX,ORD,28/8/2023 2:18,165,On-time,352.61,9,0
JetBlue,JFK,DFW,20/1/2025 5:45,89,Cancelled,315.38,1,0
Southwest,DEN,SFO,16/1/2025 0:19,261,Delayed,449.12,6,0
JetBlue,JFK,DEN,5/6/2023 23:34,145,On-time,219.72,26,0
JetBlue,DEN,JFK,23/5/2023 17:58,268,On-time,122.70,11,0
American Airlines,SEA,DFW,12/11/2023 21:50,186,On-time,375.59,13,0
JetBlue,SEA,LAX,9/2/2025 16:35,193,On-time,229.09,8,0
JetBlue,JFK,JFK,7/2/2024 2:13,29,On-time,467.72,2,1
Southwest,ATL,ATL,11/10/2023 12:39,173,On-time,552.38,5,1
Southwest,DFW,SFO,16/5/2024 12:49,59,Delayed,477.94,18,1
United,DFW,DEN,18/11/2024 12:59,77,On-time,229.74,15,0
United,ORD,ATL,28/6/2023 10:28,115,On-time,234.94,12,0
United,ATL,DEN,10/9/2024 8:04,261,On-time,429.73,3,0
United,SFO,ORD,12/1/2024 19:55,157,On-time,199.88,2,0
Delta,JFK,DFW,1/2/2025 3:06,233,On-time,361.13,8,0
JetBlue,SEA,LAX,1/10/2023 19:16,180,Delayed,359.21,51,0
JetBlue,DEN,ATL,10/4/2025 4:15,216,On-time,422.63,5,0
United,DFW,SEA,17/2/2024 13:14,168,On-time,250.22,56,0
United,ATL,LAX,13/11/2023 3:11,275,On-time,456.75,1,0
American Airlines,LAX,DEN,12/7/2023 7:10,181,On-time,353.16,4,0
Southwest,LAX,JFK,19/2/2024 18:47,148,On-time,366.41,22,0
American Airlines,DFW,ORD,1/12/2024 2:09,93,Delayed,376.59,2,0
Southwest,LAX,DEN,1/6/2023 7:19,147,On-time,234.32,6,0
American Airlines,SEA,ORD,2/10/2023 13:56,98,On-time,295.42,9,0
American Airlines,SEA,DFW,30/9/2023 21:20,274,Delayed,179.04,5,1
Southwest,SEA,DFW,19/12/2023 5:14,182,Delayed,358.52,8,0
JetBlue,LAX,DFW,9/9/2023 10:02,229,On-time,324.11,19,0
Delta,DEN,ATL,14/4/2024 18:13,205,On-time,382.08,11,0
Delta,DFW,DFW,13/11/2024 20:10,282,On-time,353.37,7,0
JetBlue,ATL,SEA,11/4/2024 4:24,230,On-time,442.67,3,0
JetBlue,ATL,DEN,26/8/2023 15:03,174,On-time,273.51,0,0
American Airlines,ORD,DFW,6/5/2023 20:07,198,On-time,262.13,10,0
Southwest,ORD,DEN,14/3/2025 20:19,176,On-time,438.25,8,0
American Airlines,ATL,ORD,6/5/2024 7:46,173,On-time,339.86,11,0
Southwest,JFK,SEA,20/12/2023 12:20,153,On-time,440.78,3,1
Delta,LAX,DEN,25/6/2024 4:17,167,On-time,273.80,24,0
American Airlines,DEN,DEN,12/4/2024 4:12,201,On-time,538.42,22,1
United,DFW,DFW,1/12/2024 6:57,193,On-time,316.76,4,0
United,JFK,ATL,18/3/2024 3:44,256,On-time,285.22,7,1
American Airlines,ORD,LAX,23/9/2024 20:10,227,On-time,353.57,8,0
Delta,ATL,DFW,1/11/2024 18:01,172,On-time,451.07,4,0
United,SFO,DFW,30/1/2025 14:45,243,On-time,294.39,16,0
Southwest,LAX,LAX,24/11/2023 2:48,175,Delayed,270.98,23,0
American Airlines,JFK,DEN,21/6/2023 13:52,145,Delayed,409.72,5,0
United,ORD,SEA,23/8/2024 2:59,200,On-time,334.44,0,0
Southwest,ORD,SFO,10/6/2024 10:46,160,Cancelled,286.77,4,1
Southwest,DFW,DFW,17/12/2023 10:50,121,On-time,457.72,1,0
JetBlue,DFW,LAX,18/3/2024 22:45,197,On-time,327.74,32,0
United,SFO,JFK,1/10/2023 13:07,249,On-time,347.00,4,0
Delta,ORD,SEA,12/5/2024 5:39,250,Delayed,258.18,2,0
JetBlue,ATL,ATL,4/5/2023 14:50,254,On-time,412.23,7,0
Southwest,LAX,DEN,11/10/2023 22:09,111,Delayed,400.97,23,0
JetBlue,LAX,LAX,7/11/2024 22:46,158,Cancelled,274.51,15,0
American Airlines,SFO,ORD,24/3/2025 7:35,209,Delayed,364.28,5,1
American Airlines,DEN,DEN,6/7/2023 5:31,131,On-time,265.69,47,0
Southwest,SEA,SEA,15/5/2023 1:27,221,On-time,492.83,10,0
American Airlines,DEN,JFK,2/8/2024 17:46,215,On-time,435.41,22,0
Delta,SFO,SFO,17/9/2023 7:54,194,On-time,204.43,1,0
United,LAX,ORD,29/9/2023 1:35,125,Delayed,261.46,28,1
Delta,DEN,SEA,3/4/2024 17:13,244,On-time,235.20,1,0
Southwest,DFW,DFW,10/11/2024 4:44,205,On-time,350.71,5,0
Southwest,ATL,JFK,4/4/2025 15:26,161,On-time,195.00,1,0
American Airlines,LAX,ORD,22/2/2024 20:02,104,On-time,220.59,4,0
American Airlines,ATL,DEN,27/7/2024 12:19,157,Delayed,305.67,1,0
American Airlines,DEN,ORD,27/10/2023 12:24,202,On-time,260.88,15,0
United,DEN,DFW,9/9/2023 23:52,131,On-time,311.31,1,0
United,SFO,JFK,12/10/2024 21:37,105,On-time,342.85,10,1
Southwest,SFO,ATL,8/3/2024 1:25,242,On-time,506.77,3,0
Delta,ATL,DEN,14/3/2025 14:00,133,Cancelled,329.48,7,0
JetBlue,SEA,SEA,26/4/2024 2:25,261,On-time,249.95,6,0
JetBlue,JFK,SFO,7/7/2024 2:14,146,On-time,455.03,5,0
American Airlines,LAX,DFW,26/5/2023 10:35,156,On-time,300.33,3,0
Delta,SFO,ATL,16/11/2023 3:31,145,Delayed,363.47,0,0
American Airlines,JFK,SEA,7/12/2023 12:28,204,Delayed,151.12,9,0
United,SEA,LAX,28/12/2023 10:40,155,On-time,344.50,2,1
American Airlines,DFW,LAX,26/11/2024 21:32,237,On-time,384.83,6,1
United,ATL,ORD,29/4/2024 5:54,140,On-time,128.22,6,0
United,SEA,ORD,31/7/2023 1:34,117,On-time,260.06,3,0
American Airlines,DFW,DEN,27/10/2024 11:28,252,On-time,546.65,1,0
Southwest,LAX,SEA,5/12/2023 10:17,208,Cancelled,333.91,12,0
American Airlines,JFK,SEA,22/6/2024 4:31,264,Delayed,177.53,5,0
United,ATL,ATL,11/4/2025 17:28,94,On-time,402.89,22,0
American Airlines,SEA,ORD,16/2/2024 15:15,200,On-time,428.48,7,0
JetBlue,SFO,ORD,19/7/2023 21:38,164,On-time,316.42,0,0
JetBlue,SFO,LAX,3/4/2024 23:05,189,On-time,473.92,11,0
JetBlue,LAX,LAX,11/5/2023 17:08,191,On-time,532.86,6,1
United,JFK,SFO,8/7/2023 15:21,255,On-time,382.40,1,0
American Airlines,LAX,SFO,26/12/2024 0:15,132,On-time,294.25,13,0
Delta,ORD,SFO,19/7/2024 18:07,168,On-time,374.44,8,1
JetBlue,DFW,ORD,28/1/2024 10:20,143,On-time,245.25,27,0
JetBlue,LAX,SFO,27/12/2024 6:16,217,On-time,330.76,15,0
Southwest,DEN,SFO,11/4/2025 15:06,188,On-time,476.48,12,0
Delta,LAX,DEN,19/10/2024 15:45,286,On-time,339.92,3,0
JetBlue,ORD,DFW,21/5/2023 20:12,152,On-time,285.50,19,0
Southwest,ATL,ATL,9/12/2023 20:31,172,On-time,298.40,37,0
Delta,DFW,SEA,28/6/2023 15:51,252,On-time,168.01,3,0
Southwest,ATL,DEN,12/5/2024 0:28,145,Delayed,418.90,18,0
JetBlue,DFW,LAX,4/11/2024 5:44,181,On-time,176.04,6,0
United,ORD,ATL,19/7/2024 14:07,204,On-time,339.62,4,0
JetBlue,LAX,ORD,6/6/2024 13:14,319,On-time,388.28,3,0
United,SEA,DFW,3/10/2023 9:15,225,On-time,303.95,13,1
JetBlue,ATL,DFW,12/11/2023 11:19,203,On-time,203.90,7,1
Delta,DFW,JFK,26/2/2024 8:20,181,Cancelled,272.76,19,0
American Airlines,ATL,ORD,6/6/2024 18:03,172,On-time,275.29,11,0
Southwest,LAX,DFW,22/9/2023 2:27,283,On-time,296.31,7,1
American Airlines,DFW,LAX,4/12/2024 11:48,178,On-time,441.05,1,0
Southwest,JFK,SFO,22/2/2024 13:48,197,On-time,575.18,5,0
American Airlines,ATL,SEA,5/7/2024 0:20,160,On-time,286.41,3,0
American Airlines,LAX,SFO,13/6/2024 7:10,132,On-time,317.33,13,0
Southwest,ATL,ORD,20/4/2024 21:25,205,On-time,449.30,0,0
American Airlines,ORD,JFK,17/3/2025 12:41,223,Delayed,291.85,12,0
American Airlines,ORD,LAX,15/4/2025 21:43,169,On-time,361.79,4,0
United,LAX,DFW,15/5/2024 8:06,167,On-time,377.84,1,0
American Airlines,SFO,LAX,30/5/2024 14:31,127,On-time,491.89,16,0
American Airlines,DEN,DFW,21/9/2023 9:17,224,Delayed,535.81,5,0
Southwest,ORD,DEN,4/9/2024 11:42,442,On-time,342.95,17,0
Delta,SEA,JFK,31/1/2025 0:06,38,On-time,476.42,14,0
United,DEN,ORD,19/4/2025 8:23,219,On-time,542.25,22,0
American Airlines,SEA,ORD,1/5/2024 5:49,228,On-time,414.87,1,0
Delta,SFO,DEN,17/9/2023 21:47,154,On-time,376.60,0,1
American Airlines,LAX,DFW,28/10/2023 3:30,266,Delayed,172.37,3,0
Delta,DFW,SFO,15/11/2023 4:47,192,Delayed,204.79,2,0
Southwest,ATL,LAX,6/8/2023 20:00,146,On-time,456.89,2,0
United,SEA,SEA,11/3/2024 3:28,252,On-time,318.63,1,0
American Airlines,LAX,SEA,1/11/2023 18:48,170,On-time,426.62,5,1
Southwest,LAX,JFK,6/6/2024 11:05,201,On-time,281.07,8,0
Southwest,ORD,ORD,4/5/2023 10:04,208,On-time,148.59,10,0
American Airlines,DEN,ORD,25/10/2023 12:58,171,Cancelled,423.02,8,0
American Airlines,SFO,ORD,13/12/2023 6:42,211,Cancelled,316.21,7,0
American Airlines,SFO,DFW,14/1/2025 22:13,124,Delayed,594.87,2,0
Southwest,LAX,LAX,19/7/2024 22:41,270,Delayed,332.03,4,0
Southwest,DFW,SEA,21/9/2024 17:44,224,On-time,100.44,9,1
Southwest,JFK,ORD,2/10/2024 23:58,169,Delayed,227.81,20,0
United,DEN,LAX,8/7/2023 17:03,29,On-time,316.00,6,1
American Airlines,DEN,SFO,14/7/2024 14:59,255,On-time,428.84,27,0
Delta,ORD,DEN,22/11/2024 0:14,179,On-time,467.42,6,0
United,ORD,SFO,28/8/2023 22:01,190,Delayed,645.14,7,0
United,ATL,ATL,26/4/2023 2:26,151,On-time,391.74,1,0
Delta,JFK,DFW,12/4/2025 11:46,34,Delayed,380.60,14,0
Delta,LAX,SFO,6/4/2024 15:54,171,Delayed,491.71,4,0
American Airlines,ATL,ORD,16/6/2023 6:17,201,On-time,293.74,6,0
United,SEA,DEN,7/6/2024 9:49,163,On-time,168.45,5,0
American Airlines,SFO,JFK,19/11/2023 12:52,177,Cancelled,492.99,6,1
JetBlue,ATL,ORD,4/11/2024 0:51,185,On-time,155.67,25,0
United,ORD,DFW,9/5/2023 7:14,183,On-time,486.76,16,0
Delta,DEN,LAX,4/1/2024 0:15,181,Cancelled,466.06,1,0
United,JFK,JFK,13/6/2024 1:35,342,On-time,573.85,15,0
Delta,LAX,JFK,15/10/2024 18:08,116,On-time,330.79,12,0
Southwest,ORD,JFK,25/8/2023 17:27,92,On-time,183.48,2,0
JetBlue,JFK,ATL,28/2/2025 5:02,61,On-time,276.86,9,1
United,ATL,JFK,21/9/2023 23:49,163,On-time,361.11,2,0
JetBlue,SFO,DFW,10/3/2024 8:11,108,Delayed,350.91,18,0
Delta,DEN,JFK,27/2/2025 1:24,254,On-time,350.88,47,0
Delta,ORD,LAX,1/3/2024 0:12,115,On-time,541.60,0,0
JetBlue,DFW,ATL,27/4/2023 21:41,150,On-time,347.27,56,0
United,SEA,SFO,5/3/2024 21:33,262,On-time,368.93,17,1
Southwest,SFO,JFK,21/4/2024 0:34,113,Delayed,392.44,6,0
United,JFK,SFO,16/3/2025 11:09,241,On-time,306.74,5,0
American Airlines,ORD,ORD,15/1/2025 20:23,160,On-time,329.57,11,0
United,LAX,JFK,9/12/2024 23:40,142,On-time,340.63,10,0
JetBlue,DEN,ATL,26/1/2025 22:48,74,On-time,343.76,7,0
Southwest,ATL,DFW,3/12/2024 3:01,162,On-time,240.82,17,1
American Airlines,ORD,ATL,27/7/2023 6:57,155,On-time,501.18,14,0
American Airlines,ORD,ORD,9/9/2023 8:51,76,On-time,317.60,3,0
Southwest,LAX,DFW,19/1/2025 16:04,177,Delayed,277.69,15,1
American Airlines,SEA,JFK,8/7/2024 6:03,250,On-time,271.56,31,0
Southwest,SFO,JFK,26/11/2024 6:59,140,On-time,335.52,8,1
United,ORD,ORD,24/9/2023 19:08,168,On-time,321.58,7,1
JetBlue,LAX,ATL,14/2/2024 20:17,118,On-time,415.92,8,0
JetBlue,ATL,LAX,31/7/2024 18:09,59,On-time,321.52,24,0
JetBlue,SFO,LAX,27/9/2023 3:56,118,On-time,368.32,8,0
United,ORD,LAX,7/10/2024 2:05,101,On-time,222.63,2,0
United,SEA,DFW,25/11/2024 14:38,255,On-time,491.86,8,0
Delta,ATL,SFO,10/7/2024 14:10,296,On-time,354.81,10,0
Southwest,ATL,ATL,23/7/2024 9:59,182,On-time,447.99,4,0
United,JFK,SEA,30/5/2024 13:35,266,On-time,410.42,3,0
United,DEN,LAX,17/4/2024 18:12,248,On-time,361.70,9,0
Southwest,DEN,JFK,26/4/2024 15:14,112,Cancelled,216.76,18,0
United,ATL,LAX,9/5/2024 17:03,212,On-time,399.35,4,0
United,DEN,ATL,2/11/2024 1:50,158,On-time,364.89,18,1
Delta,ORD,SEA,21/11/2024 3:44,107,Delayed,395.99,32,0
JetBlue,JFK,LAX,8/3/2025 15:43,226,On-time,247.51,27,0
American Airlines,DFW,ATL,21/11/2023 20:57,108,On-time,481.61,7,1
Southwest,DFW,SEA,8/6/2023 10:55,179,On-time,430.65,7,0
JetBlue,JFK,DFW,24/8/2023 15:25,143,On-time,478.22,11,0
Southwest,SEA,JFK,5/9/2023 22:11,190,On-time,372.58,7,0
Delta,DEN,ATL,3/6/2023 14:45,232,On-time,426.15,1,1
JetBlue,DFW,JFK,11/10/2023 14:27,263,On-time,509.27,16,1
Southwest,DEN,JFK,6/4/2025 17:42,37,On-time,319.31,5,1
Delta,JFK,SEA,25/8/2023 16:52,200,On-time,530.70,12,0
JetBlue,DEN,DFW,7/5/2023 15:54,183,Cancelled,183.33,13,1
JetBlue,DEN,LAX,19/3/2025 12:24,229,On-time,245.20,1,0
Delta,JFK,DFW,19/10/2023 0:49,138,On-time,226.61,0,0
JetBlue,DEN,ORD,16/2/2025 3:18,249,On-time,466.01,7,0
American Airlines,ORD,ORD,18/5/2023 7:28,225,On-time,397.05,12,0
Delta,ORD,ORD,12/8/2024 3:59,158,On-time,131.19,3,0
Southwest,LAX,DFW,12/7/2024 11:55,224,On-time,370.97,13,1
Southwest,ORD,DFW,11/1/2025 11:30,235,On-time,129.25,0,1
Southwest,SEA,SEA,7/4/2024 4:03,255,On-time,480.35,12,0
American Airlines,ATL,LAX,5/10/2023 11:45,245,On-time,529.43,0,0
Delta,DEN,LAX,15/5/2024 15:58,223,On-time,202.34,14,1
